"Category","Occurrence","Action item","Subject","Group","Description","Documentation references","Recommended action","Filtered","Estimated complexity","Line","Position"
"table","Schemas.sakila.Tables.country.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.customer.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.film.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.film_actor.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.film_category.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.inventory.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.language.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.payment.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.rental.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.staff.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
"table","Schemas.sakila.Tables.store.Columns.last_update","8825","","Check the default value for a Date or DateTime column","Check the default value for a Date or DateTime column","null","Please review generated code and modify it if necessary.","","Simple","",""
